"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
2.3,4.92296419907913,4.67150653377277,4.58901409728065,4.41743186727382,4.28707724913804,14.6428071254694,15.5321725779303,15.6234154042304,15.4981784695042,16.0333269011705
2.35,4.94250834926926,4.68580487739152,4.6021827222565,4.42874866405713,4.2968185406157,14.7638528911832,15.6685371538212,15.7617278816285,15.6397355345428,16.1845857489412
2.4,4.96280243452537,4.70063110077809,4.61583585116232,4.44048692714266,4.30691623569326,14.8790618791413,15.7988756535911,15.8939903269147,15.7755817443629,16.3298611093677
2.45,4.9838576792591,4.71599021499159,4.62997739935612,4.45264903719722,4.31737165501505,14.9883879936754,15.9231754344522,16.0201963835032,15.905713661871,16.4691621501559
2.5,5.00568641286952,4.73188788920338,4.64461187388072,4.4652378731103,4.32818652575162,15.091788675732,16.0414264264141,16.1403422787784,16.0301296201157,16.6024997385525
2.55,5.02830207429518,4.74833043914885,4.65974435957209,4.47825679609755,4.33936296467443,15.1892248569094,16.1536211523975,16.2544268395868,16.148829806544,16.7298865174125
2.6,5.0517192215642,4.76532481894203,4.67538050834705,4.49170963668799,4.35090346389687,15.2806609071993,16.2597547398368,16.362451499454,16.2618163355034,16.8513369713653
2.65,5.07595354625451,4.78287861602056,4.69152653141973,4.50560068432701,4.36281087899328,15.3660645786347,16.3598249248753,16.4644202984218,16.3690933095847,16.9668674830253
2.7,5.10102189281137,4.80100004902486,4.70818919423261,4.51993467936385,4.37508841924926,15.4454069465761,16.4538320500432,16.5603398762515,16.4706668703908,17.0764963793145
2.75,5.12694228270291,4.81969796844662,4.72537581392014,4.53471680722716,4.38773963983267,15.5186623499618,16.5417790561599,16.6502194596279,16.5665452392934,17.1802439680735
2.8,5.15373394342965,4.83898185991143,4.74309425915224,4.54995269462081,4.40076843570474,15.5858083315179,16.6236714690674,16.7340708438919,16.6567387487305,17.2781325652217
2.85,5.18141734243831,4.8588618499856,4.7613529522303,4.56564840759812,4.41417903711802,15.6468255786781,16.6995173816871,16.8119083697658,16.7412598645825,17.3701865128235
2.9,5.21001422602577,4.87934871442257,4.78016087333233,4.58181045139537,4.42797600657048,15.7016978657347,16.7693274318391,16.8837488954834,16.820123200159,17.4564321884548
2.95,5.23954766335527,4.90045388878519,4.79952756682442,4.59844577192575,4.44216423710519,15.7504119975851,16.8331147761742,16.9496117646761,16.8933455223197,17.5368980063186
3,5.27004209574357,4.92218948140149,4.81946314957535,4.61556175885241,4.45674895186245,15.7929577552999,16.8908950605326,17.0095187703548,16.9609457502386,17.6116144105909
3.05,5.30152339141634,4.94456828863054,4.8399783212287,4.63316625017557,4.47173570480654,15.8293278436337,16.9426863870137,17.0634941152785,17.0229449473134,17.6806138614938
3.1,5.33401890596867,4.96760381243288,4.86108437640333,4.65126753828302,4.48713038256254,15.8595178405211,16.9885092779914,17.1115643689991,17.0793663067069,17.7439308146072
3.15,5.36755754880945,4.99131028025772,4.88279321880809,4.66987437742617,4.50293920731044,15.8835261485247,17.0283866373095,17.153758421842,17.1302351310011,17.8016016939434
3.2,5.40216985591273,5.01570266727546,4.90511737727166,4.6889959925962,4.51916874069469,15.9013539481757,17.0623437088594,17.1901074360736,17.175578806421,17.8536648592896
3.25,5.43788806924584,5.04079672100065,4.92807002370154,4.70864208978517,4.53582588871608,15.913005153092,17.0904080327362,17.2206447945023,17.2154267720775,17.9001605683368
3.3,5.47474622329501,5.06660898836645,4.95166499300005,4.72882286762819,4.55291790758192,15.9184863667459,17.1126093991622,17.2454060467381,17.2498104846653,17.9411309340842
3.35,5.51278023916321,5.09315684532764,4.9759168049779,4.74954903043153,4.57045241049793,15.9178068407377,17.12897980035,17.2644288533393,17.2787633790273,17.9766198780085
3.4,5.55202802677415,5.12045852908589,5.00084068831897,4.77083180260144,4.58843737539224,15.9109784344168,17.139553380482,17.2777529280645,17.3023208249888,18.0066730794596
3.45,5.59252959578057,5.14853317304706,5.02645260666239,4.79268294449689,4.60688115356879,15.8980155756902,17.1443663839719,17.2854199784401,17.3205200808484,18.0313379217352
3.5,5.63432717584546,5.17740084463763,5.05276928688145,4.81511476973866,4.62579247929308,15.8789352228631,17.1434571021709,17.2874736448472,17.3334002438802,18.0506634352525
3.55,5.67746534704184,5.20708258612503,5.07980824965154,4.83814016401506,4.64518048031948,15.8537568273499,17.1368658186774,17.283959438329,17.3410021982161,18.0647002382315
3.6,5.72199118120253,5.23760045860568,5.10758784241347,4.86177260543398,4.66505468937456,15.8225022971101,17.1246347534106,17.2749246773103,17.3433685604183,18.0735004752666
3.65,5.76795439514534,5.26897758934327,5.13612727485208,4.88602618647884,4.68542505661655,15.7851959606649,17.1068080055939,17.2604184234168,17.3405436230786,18.0771177541519
3.7,5.81540751680412,5.30123822266183,5.16544665702536,4.91091563763528,4.70630196309597,15.7418645315581,17.0834314958037,17.2404914165718,17.3325732967257,18.0756070812928
3.75,5.86440606541277,5.3344077746199,5.19556704029465,4.9364563527642,4.7276962352481,15.6925370731412,17.054552907225,17.2151960095473,17.3195050503319,18.0690247960297
3.8,5.91500874701944,5.36851289171619,5.22651046122303,4.96266441630659,4.74961916045296,15.6372449635649,17.0202216262564,17.1845861021319,17.3013878506819,18.0574285041579
3.85,5.96727766675369,5.40358151390345,5.25829998862701,4.98955663241468,4.77208250370372,15.5760218608747,16.9804886826035,17.148717075077,17.2782721008492,18.0408770109261
3.9,6.02127855943307,5.43964294221518,5.29095977398527,5.01715055611494,4.79509852543006,15.5089036681174,16.9354066889913,17.1076457239735,17.2502095780196,18.0194302537606
