"F [GHz]","Qdiff []","Ldiff []"
10.45,-0.0985840636317233,-6.46554738777179
10.5,-0.295715751197444,-17.9287572225592
10.55,-0.492417620710776,-26.0136390641108
10.6,-0.688671424353769,-30.5244471790837
10.65,-0.88445908173009,-32.2819763622637
10.7,-1.07976267588762,-32.2832219096972
10.75,-1.27456444942558,-31.3049060586307
10.8,-1.46884680068758,-29.8491820782774
10.85,-1.66259228004157,-28.2097762240205
10.9,-1.85578358624859,-26.5473583279384
10.95,-2.0484035629209,-24.9442753290583
11,-2.24043519507098,-23.4387731495191
11.05,-2.43186160575239,-22.0450330222684
11.1,-2.62266605279379,-20.7645344028371
11.15,-2.81283192562687,-19.5923859924933
11.2,-3.00234274220912,-18.5208047510403
11.25,-3.19118214604291,-17.5409949000691
11.3,-3.37933390329113,-16.6441339293711
11.35,-3.56678189999068,-15.8218626715376
11.4,-3.75351013936468,-15.0665023363635
11.45,-3.93950273923363,-14.371123736597
11.5,-4.12474392952705,-13.7295390460519
11.55,-4.30921804989589,-13.1362554527233
11.6,-4.49290954742643,-12.5864125178181
11.65,-4.67580297445615,-12.075715084459
11.7,-4.85788298649307,-11.6003679239645
11.75,-5.03913434023762,-11.1570151157956
11.8,-5.21954189170891,-10.7426853789827
11.85,-5.39909059447575,-10.3547436063745
11.9,-5.57776549799171,-9.99084835156149
11.95,-5.75555174603678,-9.64891478103637
12,-5.93243457526357,-9.32708251451083
12.05,-6.10839931385062,-9.0236877667543
12.1,-6.28343138026194,-8.73723923584819
12.15,-6.45751628211287,-8.46639723310923
12.2,-6.63063961514397,-8.20995560667681
12.25,-6.80278706230115,-7.96682606716815
12.3,-6.9739443929247,-7.73602457649085
12.35,-7.14409746204379,-7.51665950837847
12.4,-7.31323220978079,-7.30792133105463
12.45,-7.48133466086278,-7.10907359878002
12.5,-7.64839092424003,-6.91944507031437
12.55,-7.81438719281306,-6.73842279907614
12.6,-7.97930974326773,-6.5654460625649
12.65,-8.14314493601677,-6.40000101796996
12.7,-8.30587921524996,-6.24161598731362
12.75,-8.46749910909059,-6.0898572894067
12.8,-8.6279912298594,-5.94432554770844
12.85,-8.78734227444492,-5.80465241320848
12.9,-8.94553902478051,-5.67049764996485
12.95,-9.10256834842586,-5.54154653817371
13,-9.25841719925588,-5.41750755581387
13.05,-9.41307261825266,-5.29811030516896
13.1,-9.56652173440201,-5.18310365502371
13.15,-9.71875176569421,-5.07225407317581
13.2,-9.86975002022653,-4.96534412720179
13.25,-10.0195038974087,-4.86217113424623
13.3,-10.1680008892685,-4.76254594303991
13.35,-10.3152285818585,-4.66629183345243
13.4,-10.4611746567612,-4.5732435206986
13.45,-10.6058268926927,-4.48324625288701
13.5,-10.7491731672035,-4.39615499195946
13.55,-10.8912014584748,-4.31183366925151
13.6,-11.0318998472089,-4.23015450793183
13.65,-11.1712565186135,-4.15099740547392
13.7,-11.309259764478,-4.07424937009587
13.75,-11.4458979853379,-3.99980400578772
13.8,-11.5811596927309,-3.92756104114541
13.85,-11.7150335115359,-3.85742589775586
13.9,-11.8475081824023,-3.78930929434041
13.95,-11.9785725642573,-3.72312688327063
14,-12.1082156368976,-3.65879891642932
14.05,-12.236426503661,-3.59624993770681
14.1,-12.3631943941724,-3.53540849970285
14.15,-12.4885086671681,-3.47620690245288
14.2,-12.61235881339,-3.4185809522179
14.25,-12.7347344585532,-3.36246973857297
14.3,-12.8556253663791,-3.30781542820347
14.35,-12.9750214416954,-3.25456307397381
14.4,-13.092912733599,-3.2026604379713
14.45,-13.2092894386786,-3.1520578273521
14.5,-13.3241419042954,-3.10270794192654
14.55,-13.4374606319175,-3.05456573252031
14.6,-13.5492362805075,-3.00758826923699
14.65,-13.6594596699559,-2.96173461882713
14.7,-13.7681217845648,-2.91696573044084
14.75,-13.8752137765677,-2.87324432910561
14.8,-13.9807269696943,-2.8305348163289
14.85,-14.0846528627673,-2.78880317727803
14.9,-14.1869831333328,-2.7480168940369
14.95,-14.2877096413189,-2.70814486448211
15,-14.3868244327206,-2.66915732635981
