"F [GHz]","Ldiff [] - $R_out='180um'","Ldiff [] - $R_out='190um'","Ldiff [] - $R_out='200um'","Ldiff [] - $R_out='210um'","Ldiff [] - $R_out='213um'","Ldiff [] - $R_out='220um'","Qdiff [] - $R_out='180um'","Qdiff [] - $R_out='190um'","Qdiff [] - $R_out='200um'","Qdiff [] - $R_out='210um'","Qdiff [] - $R_out='213um'","Qdiff [] - $R_out='220um'"
7.8,4.30679389085073,5.4330522236018,7.11338391991461,10.1649803133064,11.2833251652489,14.9588201934133,14.0394101822208,12.5227463758834,10.6813678407602,7.78543130014375,7.19973186862643,5.52659773023964
7.85,4.34448256623995,5.49512238234961,7.22585282301546,10.4168298234955,11.5971450860504,15.5249132805708,13.9111348794891,12.3648008460117,10.4919852205893,7.56930964607828,6.97658950304546,5.29134208253956
7.9,4.38312781473128,5.55910938646653,7.3428077430571,10.6833143525823,11.9311177059089,16.1383125398208,13.7813449349909,12.2055032830074,10.3014283167946,7.35235810238863,6.75265077490828,5.05562736899957
7.95,4.42276380124048,5.62509867084598,7.46451223588523,10.9657008847415,12.2871715240159,16.8048008877186,13.6500650210853,12.044883510646,10.1097326112694,7.13461785863559,6.5279584880143,4.81949821123352
8,4.4634263567016,5.69318083365838,7.59125076259852,11.2654029580269,12.6674803715154,17.531053899241,13.5173196511382,11.8829710984416,9.91693329280028,6.91612973821506,6.30255508638461,4.58299877521022
8.05,4.50515307984511,5.76345202846628,7.7233307750077,11.5840016760526,13.0745017075271,18.3247876008288,13.3831331787459,11.7197953625994,9.72306525808602,6.69693420020972,6.07648265591137,4.34617277444255
8.1,4.54798344649765,5.83601439232065,7.86108505191476,11.9232702457573,13.5110217537398,19.1949213572866,13.247529797171,11.555385367177,9.52816311291686,6.47707134133318,5.84978292607898,4.10906347319261
8.15,4.59195892705504,5.91097651371002,8.00487432144684,12.2852026916276,13.9802087294901,20.1517464878606,13.1105335389806,11.3897699254451,9.33226117350408,6.25658089795689,5.62249727174532,3.87171368968284
8.2,4.63712311284576,5.98845394471188,8.1550902103133,12.6720475145649,14.4856756248806,21.207078504844,12.972168275883,11.222977601437,9.13539346795156,6.03550224820839,5.39466671497237,3.63416579930202
8.25,4.68352185217356,6.06856976224004,8.31215856748935,13.0863471946118,15.031554089612,22.3743459019206,12.832457718752,11.0550367116779,8.93759373786006,5.81387441413202,5.16633192689573,3.39646173779708
8.3,4.73120339690931,6.15145518390282,8.47654321765702,13.5309845749311,15.6225810540026,23.668519803656,12.691425417833,10.8859753270846,8.73889544005582,5.59173606390246,4.93753322962393,3.15864300444145
8.35,4.78021856059088,6.23725024469625,8.64875020898517,14.0092372956844,16.2641995097776,25.1056940363526,12.5490947631255,10.7158212750275,8.53933174843498,5.36912551408214,4.70831059815699,2.9207506651714
8.4,4.83062088909104,6.32610454156925,8.82933263078047,14.5248415419634,16.9626742234777,26.7019396024243,12.4054889849308,10.5446021415436,8.33893555591643,5.14608073191436,4.47870366231668,2.68282535568215
8.45,4.88246684502466,6.41817805382859,9.01889608952033,15.0820663739559,17.7252215896267,28.4706917794334,12.2606311545638,10.3723452736955,8.13773947649472,4.92263933764337,4.24875170867872,2.44490728447641
8.5,4.9358160071922,6.51364204842172,9.21810494717993,15.6857997154943,18.5601495233357,30.4172040326085,12.1145441852168,10.199077782065,7.9357758473861,4.69883860685497,4.01849368250012,2.2070362358581
8.55,4.99073128649705,6.61268008036591,9.42768944405318,16.3416464957677,19.4769966870921,32.5271738976979,11.9672508329725,10.0248265433756,7.73307673125983,4.47471547282874,3.78796818963295,1.96925157286467
8.6,5.04727915993184,6.71548910001089,9.64845384998718,17.0560381135197,20.4866475115,34.743883538515,11.8187736979582,9.84961820323356,7.52967391854818,4.25030652889652,3.55721349841816,1.73159224013199
8.65,5.10552992440612,6.82228068045932,9.88128581373515,17.8363496725539,21.6013748269118,36.9231880990638,11.6691352256352,9.67347917898293,7.3255989298285,4.02564803079931,3.32626754155224,1.4940967666859
8.7,5.16555797238727,6.93328238036359,10.1271671107003,18.6910161233377,22.8347147540198,38.7481665687701,11.5183577082179,9.49643566266415,7.12088301827011,3.80077589903768,3.0951679179207,1.25680326865558
8.75,5.22744209155131,7.04873925951044,10.3871860254875,19.6296283167679,24.2009879967477,39.5809717396639,11.3664632862149,9.31851362407114,6.9155571721405,3.57572572120859,2.86395189439179,1.01974945190329
8.8,5.29126579089339,7.16891556715068,10.6625516482287,20.6629708809121,25.7141070865747,38.2602867484658,11.213473950089,9.13973881389864,6.70965211736404,3.35053275432406,2.6326564075656,0.782972614566819
8.85,5.3571176560351,7.29409662598878,10.9546104133885,21.8029279332571,27.384970318052,33.0197331255,11.0594115420276,8.96013676697372,6.5031983201279,3.12523192710607,2.4013180654728,0.546509649510037
8.9,5.42509173678893,7.42459093819075,11.2648652672892,23.0621150025947,29.2160835705767,22.1131452351242,10.9042977578192,8.77973280556428,6.29622598952871,2.89985784225308,2.16997314921822,0.310397046678254
8.95,5.49528797040855,7.56073254378164,11.5949979160362,24.4529674471416,31.1907739519786,5.77299000221795,10.7481541488315,8.59855204275872,6.08876508025523,2.67444477867324,1.93865761456495,0.0746708953551261
9,5.56781264436995,7.70288366648983,11.9468946780293,25.9857717071709,33.251946031609,-12.1170602668586,10.5910021240829,8.41661938590986,5.88084529530149,2.44902669368058,1.70740709345456,-0.160633113681876
9.05,5.64277890300286,7.85143768756979,12.3226765421149,27.664659471351,35.261086562076,-26.3378958855411,10.4328629524053,8.23395954013755,5.67249608870456,2.22363722514981,1.47625689545988,-0.395479686109693
9.1,5.72030730283098,8.00682249454142,12.7247341075864,29.4796965323361,36.9221746569025,-34.5629888575788,10.2737577646912,8.050597011884,5.46374666830327,1.99830969362625,1.24524200916645,-0.629833922113986
9.15,5.8005264220951,8.1695042592828,13.1557681435781,31.3915373012799,37.6526735010496,-37.7315379104997,10.1137075562202,7.86655611251571,5.25462599851189,1.77307710438741,1.01439710347981,-0.863661314551284
9.2,5.88357353063508,8.33999170869726,13.6188365301996,33.3021761891239,36.4118474865786,-37.789711865815,9.95273318906102,7.68186096196723,5.045162803105,1.54797214945312,0.783756528855632,-1.09692774722021
9.25,5.96959532710994,8.51884096146385,14.1174082907242,35.0008543772661,31.6358877507327,-36.2823349583854,9.79085539454257,7.49653549242063,4.83538556800866,1.32302720954137,0.553354318450062,-1.32959949324332
9.3,6.05874875145512,8.70666101642238,14.65542521948,36.0704377863321,21.7601682074132,-34.1296904382454,9.62809477579159,7.31060345201546,4.62532254409371,1.09827435596713,0.323224189188068,-1.56164321356018
9.35,6.15120188153084,8.90411999222209,15.2373711230469,35.7498376933241,6.85477011881614,-31.8094711548927,9.46447181032999,7.12408840858519,4.4150017499672,0.873745352481847,0.0933995427478035,-1.79302595553223
9.4,6.2471349241275,9.11195223427903,15.8683476919544,32.8175600177452,-9.84808720644329,-29.547624039007,9.30000685272892,6.93701375341329,4.20445097475784,0.649471657051312,-0.136086533540745,-2.02371515165989
9.45,6.3467413118885,9.33096642415818,16.5541540976835,25.7709317594399,-23.6445584158482,-27.4397071051706,9.13472013731469,6.74940270500619,3.99369778089175,0.425484423570212,-0.365201265884282,-2.25367861841169
9.5,6.4502289193171,9.56205484852432,17.3013638394384,13.811033583866,-32.0720566425849,-25.5171490386616,8.96863178092216,6.56127831287693,3.78276950685449,0.201814503511325,-0.593912193302992,-2.48288455516531
9.55,6.55782141288743,9.80620401002716,18.1173858488002,-1.52434599001981,-35.6729883679773,-23.7812756090156,8.8017617856915,6.37266346133589,3.57169326993658,-0.0215075524919255,-0.822187166996602,-2.71130154325993
9.6,6.6697597524214,10.0645067909983,19.0104850584943,-16.2832965980108,-36.1491577936708,-22.2202851054617,8.63413004190444,6.1835808732837,3.36049596895825,-0.244451493131034,-1.04999434980034,-2.93889854515902
9.65,6.78630386336974,10.3381764124406,19.9897163006333,-26.9419412681185,-34.9718605998001,-20.8175428945449,8.46575633085518,5.99405311400223,3.14920428697056,-0.466987364977119,-1.27730221573132,-3.16564490372297
9.7,6.90773450250447,10.6285624647621,21.0646867197065,-32.6851516597072,-33.0632148495,-19.5555210372,8.29666032775325,5.80410259493986,2.93784469392999,-0.689085511105753,-1.50407954962527,-3.39151034158959
9.75,7.03435534285518,10.9371693213847,22.2449914569653,-34.665654910478,-30.9211984916077,-18.4175694223122,8.12686160465343,5.61375157748621,2.72644344934281,-0.910716569792748,-1.73029544686404,-3.61646496066164
9.8,7.16649530757976,11.2656772784912,23.5390384630953,-34.3920512169995,-28.7910030370519,-17.3886175354717,7.95637963340937,5.42302217673318,2.51502660487701,-1.13185147328139,-1.95591931319311,-3.84047924169959
9.85,7.30451118693857,11.6159667877965,24.9517415194183,-32.979544937199,-26.7824342796453,-16.4553595530246,7.78523378864719,5.23193636521817,2.30362000693848,-1.35246144662156,-2.1809208646291,-4.06352404401731
9.9,7.44879057774197,11.9901461538447,26.4801261060163,-31.0911278449697,-24.9366906505992,-15.6062006244991,7.61344335075529,5.04051597664562,2.09224929920904,-1.57251800658124,-2.40527012745646,-4.28557060527925
9.95,7.59975519067783,12.3905830348674,28.105105005066,-29.0787472976346,-23.2616557485089,-14.8311032668883,7.44102750888727,4.84878270958381,1.88093992514389,-1.79199296063009,-2.62893743831227,-4.50659054139619
10,7.75786457793141,12.8199399859319,29.7763009909483,-27.1145373193198,-21.7499385311819,-14.1214021884351,7.26800536397367,4.65675813113262,1.66971713042538,-2.01085840599548,-2.85189344435843,-4.72655584651767
