"F [GHz]","Ldiff [] - $W='15um'","Ldiff [] - $W='17.5um'","Ldiff [] - $W='20um'","Ldiff [] - $W='22.5um'","Ldiff [] - $W='25um'","Ldiff [] - $W='27.5um'","Ldiff [] - $W='30um'","Qdiff [] - $W='15um'","Qdiff [] - $W='17.5um'","Qdiff [] - $W='20um'","Qdiff [] - $W='22.5um'","Qdiff [] - $W='25um'","Qdiff [] - $W='27.5um'","Qdiff [] - $W='30um'"
7.45,36.1655732855586,29.2140930020451,25.1412176739432,27.7424379345725,24.3112143535921,22.1660305414832,19.9596184426085,3.43870319800186,4.23065555679485,4.52256889213832,3.59957152836415,3.96818753950384,4.09347036465097,4.23379923783901
7.5,38.6576259464162,30.8976623885602,26.4318449056987,29.4644504765702,25.6984617897015,23.3794334409798,20.9949637787667,3.16120126575516,3.9555943282788,4.25953361864831,3.33701069029127,3.70696486593063,3.83590830605189,3.98252585658925
7.55,41.4802049244716,32.7831226970738,27.862710843938,31.3970030756403,27.2475909171729,24.7301273906685,22.1425736140159,2.88306378503779,3.68004968748219,3.99621188900047,3.07412470468361,3.44544060132456,3.57801594062133,3.7308367527998
7.6,44.6780791123457,34.9031375549835,29.4550373186969,33.5693100657275,28.9828695884546,26.238591438682,23.4188805325381,2.60436238433281,3.40408692045211,3.7326613067682,2.81097416620866,3.1836730603983,3.31985125801302,3.47878847228451
7.65,48.28597134751,37.2950550778322,31.2334403759857,36.009196494148,30.9308681266597,27.9277196213312,24.8425352608754,2.32516799334173,3.12777047207011,3.46893856279978,2.54761896505131,2.92171983922037,3.06147157984452,3.22643696863107
7.7,52.3030690902795,39.9996658869729,33.2259652805386,38.7351595302036,33.118423304926,29.8218002301197,26.4340384624282,2.04555082804336,2.85116394222807,3.20509943938778,2.284118283072,2.65963781461416,2.80293355873268,2.97383760168382
7.75,56.6335559488798,43.057080307673,35.4634268067647,41.7383861271565,35.567508774542,31.9437186933367,28.2144886302703,1.76558037659275,2.57433008269746,2.94119881496303,2.02053059035,2.39748314385463,2.54429317757559,2.72104513624444
7.8,60.9517660793453,46.4960307472981,37.977163952438,44.9432934348844,38.283451841782,34.3083551756895,30.2024421307049,1.48532538604404,2.29733079466694,2.67729066928585,1.75691364209759,2.13531126464799,2.28560574906621,2.46811374097618
7.85,64.409724159061,50.308391850214,40.7933167245974,48.123030931777,41.228952258177,36.9079136704789,32.406809040605,1.20485384988037,2.02022712692293,2.41342808910714,1.49332447593147,1.87317689537849,2.02692591542273,2.21509698749684
7.9,65.072279103549,54.3907757986245,43.9195995726679,50.7258650771742,44.2681779793994,39.680277636853,34.8114895876992,0.924232996334324,1.74307927464795,2.1496632742726,1.22981940948776,1.61113403560867,1.76830764832172,1.96204784964723
7.95,59.1715186025215,58.4143110524428,47.3160185281783,51.5534791003389,47.0500285859235,42.4423213586772,37.3429537101977,0.643529277481289,1.46594657881252,1.88604754424422,0.966454038367791,1.34923596681866,1.50980424902063,1.70901870292192
8,41.517943819884,61.5476510045931,50.8316403372103,48.3247604666191,48.7800984742906,44.7547091013851,39.803421517388,0.362808359088418,1.18888752613596,1.62263134501406,0.703283234401819,1.0875352533713,1.25146834865682,1.45606132404967
8.05,10.5213034243336,61.9363900254729,54.072032378186,37.7049766934958,47.8492837080876,45.6725373898637,41.7391957870898,0.0821351112014134,0.911959749592262,1.35946425638543,0.440361144218599,0.826083743690313,0.993351908710588,1.20322689071171
8.1,-24.516311703468,56.0541954571623,56.1388054875808,17.5312927350473,41.5379176298516,43.3960097098627,42.2087357914427,-0.198426400548844,0.635220029437525,1.09659499959793,0.177741188108608,0.56493257163922,0.735506221620917,0.950565981386666
8.15,-49.8062697190063,39.1867402096261,55.2004962704912,-8.49891917091823,26.8729390153002,35.2079755072277,39.4912725166383,-0.478812922937969,0.358724294735523,0.834071445272872,-0.0845239408303693,0.304132158088961,0.477981911542234,0.698128575310936
8.2,-61.3090494610989,10.0606771537417,48.1332847408778,-31.1698758875245,4.19323269415371,18.9617823420813,31.1517689533033,-0.75896202245629,0.0825276253588235,0.571940621656733,-0.346382277276791,0.0437322126631357,0.220828935231952,0.445964052544619
8.25,-63.3281102672308,-22.7670724778199,31.4556781811299,-44.5138206692948,-19.7471671846517,-3.21336169408424,15.592386860566,-1.03881209195199,-0.193315745557162,0.310248723140719,-0.607782584008738,-0.21621826435011,-0.0359034169415817,0.194121194132987
8.3,-60.7546059326831,-46.7332319898176,5.41116032761201,-49.4102009730196,-36.9003733714637,-24.0046048333839,-4.74179703621896,-1.31830235662773,-0.468752428729133,0.0490411190351361,-0.868674351977806,-0.475670979929923,-0.292166519880091,-0.0573518176455132
8.35,-56.4912400068046,-57.955785944986,-22.2939050151796,-49.2889932531804,-45.1609064411658,-37.3908564934889,-23.2475850747734,-1.59737287940901,-0.743729875431432,-0.211637637421944,-1.12900780014363,-0.734578346108241,-0.54791241253467,-0.30840739895356
8.4,-51.8969359203475,-60.2155344792393,-42.2562018169619,-46.8529308412712,-47.0861763936997,-43.1003215384037,-34.9860923392724,-1.8759645657034,-1.01819637381346,-0.471743799841711,-1.38873387507909,-0.992893477618472,-0.803093796591769,-0.558998563999806
8.45,-47.5251035874959,-58.0181811832333,-51.9137679087353,-43.5984282462349,-45.699563879471,-43.8463632265115,-39.9678576692672,-2.15401916756832,-1.29210104484952,-0.731234419266614,-1.64780425035557,-1.2505701894163,-1.05766403507402,-0.809078924581738
8.5,-43.5635364581345,-54.1146830859799,-54.1973593312628,-40.2309967829381,-42.9360567933393,-42.1292208697179,-40.5969334431736,-2.43147928730687,-1.56539383794162,-0.990067334576201,-1.90617132571781,-1.50756299408136,-1.31157715086359,-1.05860268957414
8.55,-40.0457257721303,-49.8254679279954,-52.6222170306329,-37.0466122909968,-39.7816509194441,-39.4400890415545,-39.0439942306133,-2.70828838050937,-1.83802552619488,-1.24820116273464,-2.16378822605707,-1.763827099108,-1.5647878251552,-1.30752466436959
8.6,-36.9450434938692,-45.7035536288939,-49.4428214285904,-34.1488034326169,-36.6796292182468,-36.519344156234,-36.6129786979288,-2.98439075855959,-2.10994770138521,-1.50559528889771,-2.42060880019154,-2.01931840409294,-1.81725139584555,-1.55580025027756
8.65,-34.2152558240834,-41.9457926076318,-45.8073213875642,-31.555852775064,-33.8055002398905,-33.6950437495723,-33.9610877346145,-3.2597315906238,-2.38111276863794,-1.76220985639603,-2.67658761946232,-2.27399349782729,-2.0689238558655,-1.80338544388775
